date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:28	157032/157032	---M-Z	200	added ('OK')	text/html	etag:%2226568-5529d30ce5930-gzip%22	http://demo.designshopify.com/html_modez/index.html	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/index.html	(from )
15:30:28	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jan%202019%2010:03:59%20GMT	http://demo.designshopify.com/robots.txt		(from )
15:30:31	117305/117305	---M--	200	added ('OK')	text/css	etag:%221ca39-551e3011dceb0%22	http://demo.designshopify.com/html_modez/assets/stylesheets/bootstrap.min.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/bootstrap.min.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:32	29062/29062	---M--	200	added ('OK')	text/css	etag:%227186-551e30151cf30%22	http://demo.designshopify.com/html_modez/assets/stylesheets/font-awesome.min.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/font-awesome.min.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:33	55522/55522	---M--	200	added ('OK')	text/css	etag:%22d8e2-551e3011d1ee8%22	http://demo.designshopify.com/html_modez/assets/stylesheets/animate.min.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/animate.min.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:34	1476/1476	---M--	200	added ('OK')	text/css	etag:%225c4-551e30157d628%22	http://demo.designshopify.com/html_modez/assets/stylesheets/owl.carousel.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/owl.carousel.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:34	9528/9528	---M--	200	added ('OK')	text/css	etag:%222538-551e3012eb6d0%22	http://demo.designshopify.com/html_modez/assets/stylesheets/cs-modez-base.global.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/cs-modez-base.global.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:39	264/264	---M--	200	added ('OK')	text/css	etag:%22108-551e301403748%22	http://demo.designshopify.com/html_modez/assets/stylesheets/cs-modez.global.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/cs-modez.global.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:39	195708/195708	---M--	200	added ('OK')	text/css	etag:%222fc7c-552859b2deec0%22	http://demo.designshopify.com/html_modez/assets/stylesheets/cs-modez-base.styles.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/cs-modez-base.styles.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:39	81805/81805	---M--	200	added ('OK')	text/css	etag:%2213f8d-552757c60b488%22	http://demo.designshopify.com/html_modez/assets/stylesheets/cs-modez.styles.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/cs-modez.styles.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:40	17581/17581	---M--	200	added ('OK')	text/css	etag:%2244ad-551e300d004a0%22	http://demo.designshopify.com/html_modez/assets/javascripts/spr.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/javascripts/spr.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:41	26398/26398	---M--	200	added ('OK')	text/css	etag:%22671e-5529d57243ca8%22	http://demo.designshopify.com/html_modez/assets/stylesheets/camera.css	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/stylesheets/camera.css	(from http://demo.designshopify.com/html_modez/index.html)
15:30:42	5589/5589	---M--	200	added ('OK')	application/javascript	etag:%2215d5-55298b1fc8018%22	http://demo.designshopify.com/html_modez/assets/javascripts/scripts.js	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/javascripts/scripts.js	(from http://demo.designshopify.com/html_modez/index.html)
15:30:44	6964/6964	---M--	200	added ('OK')	application/javascript	etag:%221b34-5528434672d38%22	http://demo.designshopify.com/html_modez/assets/javascripts/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/javascripts/imagesloaded.pkgd.min.js	(from http://demo.designshopify.com/html_modez/index.html)
15:30:45	2585/2585	---M--	200	added ('OK')	application/javascript	etag:%22a19-55284349fcd50%22	http://demo.designshopify.com/html_modez/assets/javascripts/jquery.zoom.js	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/javascripts/jquery.zoom.js	(from http://demo.designshopify.com/html_modez/index.html)
15:30:47	23905/23905	---M--	200	added ('OK')	application/javascript	etag:%225d61-5528434adea98%22	http://demo.designshopify.com/html_modez/assets/javascripts/owl.carousel.min.js	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/javascripts/owl.carousel.min.js	(from http://demo.designshopify.com/html_modez/index.html)
15:30:47	35966/35966	---M--	200	added ('OK')	application/javascript	etag:%228c7e-55284425ba400%22	http://demo.designshopify.com/html_modez/assets/javascripts/bootstrap.min.js	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/javascripts/bootstrap.min.js	(from http://demo.designshopify.com/html_modez/index.html)
