date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:34	41298/41298	---M-Z	200	added ('OK')	text/html	etag:%223b400a4-a152-57b5221a78e57-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/index.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/index.html	(from )
16:51:35	327/327	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2011:21:27%20GMT	http://phantom-themes.com/robots.txt		(from )
16:51:37	31000/31000	---M--	200	added ('OK')	text/css	etag:%223b40216-7918-57b522a48db3d%22	http://phantom-themes.com/flatify/theme/assets/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:41	3869/3869	---M--	200	added ('OK')	text/css	etag:%223b40161-f1d-57b5226266511%22	http://phantom-themes.com/flatify/theme/assets/plugins/waves/waves.min.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/waves/waves.min.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:44	121200/121200	---M--	200	added ('OK')	text/css	etag:%223b4019d-1d970-57b522769af31%22	http://phantom-themes.com/flatify/theme/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:45	65163/65163	---M--	200	added ('OK')	text/css	etag:%223b4014c-fe8b-57b522597c913%22	http://phantom-themes.com/flatify/theme/assets/plugins/icomoon/style.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/icomoon/style.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:47	7882/7882	---M--	200	added ('OK')	text/css	etag:%223b401b4-1eca-57b5228220abc%22	http://phantom-themes.com/flatify/theme/assets/plugins/uniform/css/default.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/uniform/css/default.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:48	682/682	---M--	200	added ('OK')	text/css	etag:%223b40168-2aa-57b52264877c4%22	http://phantom-themes.com/flatify/theme/assets/plugins/switchery/switchery.min.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/switchery/switchery.min.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:49	9345/9345	---M--	200	added ('OK')	text/css	etag:%223b40100-2481-57b52241fa78a%22	http://phantom-themes.com/flatify/theme/assets/plugins/nvd3/nv.d3.min.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/plugins/nvd3/nv.d3.min.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:51:57	32/32	---M--	200	added ('OK')	text/css	etag:%223b400c7-20-57b52223af0fe%22	http://phantom-themes.com/flatify/theme/assets/css/custom.css	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/assets/css/custom.css	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
